Наименование ЛПУ;Адрес ЛПУ;Телефон;Виды помощи
"""XXI век"" Медицинский центр"" АНО";175400, Новгородская обл, Валдай г, Ленина ул, дом № 39;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";190000, Санкт-Петербург г, Косыгина пр-кт, дом № 34;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";190000, Санкт-Петербург г, Марата ул, дом № 48/15;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";190000, Санкт-Петербург г, Шаврова ул, дом № 26, корпус стр.1;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";190020, Санкт-Петербург г, Старо-Петергофский пр-кт, дом № 39;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";192289, Санкт-Петербург г, Моравский пер, дом № 3, корпус 2;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";193230, Санкт-Петербург г, Дальневосточный пр-кт, дом № 33, корпус 1;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";193318, Санкт-Петербург г, Коллонтай ул, дом № 4, корпус 1;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";194044, Санкт-Петербург г, Большой Сампсониевский пр-кт, дом № 45;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";194354, Санкт-Петербург г, Сикейроса ул, дом № 7, корпус 2;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";194354, Санкт-Петербург г, Энгельса пр-кт, дом № 107, корпус 4;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
"""XXI век"" Медицинский центр"" АНО";194358, Санкт-Петербург г, Парголово п, Валерия Гаврилина ул, дом № 11;+7 (812) 4542121;Амбулаторно-поликлиническая помощь, Помощь на дому в пределах административной границы города
